DIYABC :                   PRIOR CHECKING                         Mon Jan 25 18:35:24 2021

Data file                     : indseq_SNP_sim_dataset_4POP_001.snp
Reference table               : /tmp/RtmpmoxhQf/diyabc_rf71fe2dd8b4db/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario   
statistics           value         1      
AMLv_2.1.3         (0.2000  )   0.8128         
AMLv_3.1.2         (0.1908  )   0.5481         
AMLv_1.2.4         (0.1934  )   0.5069         
AMLv_2.1.4         (0.2060  )   0.6145         
AMLv_4.1.2         (0.1875  )   0.6159         
AMLv_1.3.4         (0.2047  )   0.7441         
AMLv_3.1.4         (0.1971  )   0.5523         
AMLv_4.1.3         (0.1893  )   0.7671         
AMLv_2.3.4         (0.2094  )   0.7664         
AMLv_3.2.4         (0.1913  )   0.4130         
AMLv_4.2.3         (0.1932  )   0.4637         
FST3m_1.2.3        (0.0652  )   0.2858         
FST3m_1.2.4        (0.0605  )   0.3333         
FST3m_1.3.4        (0.0473  )   0.2223         
FST3m_2.3.4        (0.0499  )   0.3165         
FST3v_1.2.3        (0.0086  )   0.2850         
FST3v_1.2.4        (0.0080  )   0.3305         
FST3v_1.3.4        (0.0067  )   0.2268         
FST3v_2.3.4        (0.0068  )   0.3106         
FST4m_1.2.3.4      (0.0557  )   0.2646         
FST4v_1.2.3.4      (0.0059  )   0.2500         
F3m_1.2.3          (0.0133  )   0.3267         
F3m_2.1.3          (0.0109  )   0.6582         
F3m_3.1.2          (0.0057  )   0.3677         
F3m_1.2.4          (0.0097  )   0.4411         
F3m_2.1.4          (0.0144  )   0.4556         
F3m_4.1.2          (0.0035  )   0.5527         
F3m_1.3.4          (0.0107  )   0.3544         
F3m_3.1.4          (0.0083  )   0.2362         
F3m_4.1.3          (0.0026  )   0.6702         
F3m_2.3.4          (0.0118  )   0.5534         
F3m_3.2.4          (0.0048  )   0.4356         
F3m_4.2.3          (0.0061  )   0.4057         
F3v_1.2.3          (0.0020  )   0.2729         
F3v_2.1.3          (0.0018  )   0.3658         
F3v_3.1.2          (0.0015  )   0.3113         
F3v_1.2.4          (0.0015  )   0.3088         
F3v_2.1.4          (0.0021  )   0.3492         
F3v_4.1.2          (0.0012  )   0.3425         
F3v_1.3.4          (0.0015  )   0.2828         
F3v_3.1.4          (0.0013  )   0.2625         
F3v_4.1.3          (0.0010  )   0.3677         
F3v_2.3.4          (0.0017  )   0.3799         
F3v_3.2.4          (0.0011  )   0.3451         
F3v_4.2.3          (0.0011  )   0.3143         
F4m_1.2.3.4        (-0.0035 )   0.6925         
F4m_1.3.2.4        (-0.0026 )   0.5842         
F4m_1.4.2.3        (0.0009  )   0.3242         
F4v_1.2.3.4        (0.0011  )   0.3083         
F4v_1.3.2.4        (0.0013  )   0.2881         
F4v_1.4.2.3        (0.0010  )   0.3805         
