DIYABC :                   PRIOR CHECKING                         Wed Feb 10 09:21:44 2021

Data file                     : poolseq_SNP_sim_dataset_4POP_cov100_001.snp
Reference table               : /tmp/RtmpFzHFy7/diyabc_rf70e5489d3ca2/reftableRF.bin
Number of simulated data sets : 12000

Values indicate for each summary statistics the proportion 
of simulated data sets which have a value below the observed one
 Summary           observed    scenario       scenario       scenario       scenario       scenario       scenario   
statistics           value         1              2              3              4              5              6      
HWm_4              (0.2106  )   0.9260         0.9006         0.8931         0.9223         0.9335         0.9415         
HWv_1              (0.0302  )   0.2684         0.3021         0.3223         0.3389         0.2812         0.2630         
HWv_2              (0.0327  )   0.7679         0.7850         0.7271         0.7680         0.7773         0.7398         
HWv_3              (0.0321  )   0.6303         0.6381         0.6127         0.6380         0.6253         0.6480         
HWv_4              (0.0305  )   0.4543         0.5144         0.5477         0.3783         0.3883         0.3742         
HBm_1.2            (0.2210  )   0.7761         0.8251         0.8168         0.8738         0.7693         0.7720         
HBm_1.3            (0.2201  )   0.7565         0.8200         0.7969         0.8648         0.7555         0.7416         
HBm_1.4            (0.2198  )   0.7550         0.8579         0.8466         0.9017         0.7523         0.7293         
HBm_2.3            (0.2124  )   0.7244         0.8730         0.8068         0.8942         0.7953         0.6948         
HBm_2.4            (0.2168  )   0.9019         0.8561         0.8251         0.7599         0.8878         0.8098         
HBm_3.4            (0.2148  )   0.8692         0.7630         0.8721         0.6870         0.7717         0.9154         
HBv_1.2            (0.0305  )   0.3347         0.3493         0.3056         0.3748         0.3516         0.3218         
HBv_1.3            (0.0295  )   0.1477         0.1527         0.1504         0.1956         0.1617         0.1720         
HBv_1.4            (0.0289  )   0.1130         0.2070         0.2559         0.1697         0.0821         0.0818         
HBv_2.3            (0.0315  )   0.5799         0.6282         0.5440         0.6252         0.6163         0.5823         
HBv_2.4            (0.0305  )   0.5333         0.5202         0.4943         0.3751         0.4990         0.4376         
HBv_3.4            (0.0300  )   0.4161         0.3902         0.4260         0.2705         0.3550         0.4126         
FST1m_1            (0.0366  )   0.1855         0.1716         0.1962         0.1895         0.1855         0.1856         
FST1m_2            (0.0879  )   0.6284         0.6492         0.5832         0.6056         0.6450         0.6161         
FST1m_3            (0.0580  )   0.3520         0.3428         0.3088         0.3343         0.3611         0.3850         
FST1m_4            (0.0319  )   0.1624         0.1890         0.2564         0.1026         0.0983         0.0956         
FST1v_1            (0.6380  )   0.1636         0.1275         0.1402         0.1272         0.1659         0.1682         
FST1v_2            (0.6912  )   0.2738         0.2249         0.1967         0.2202         0.2948         0.2814         
FST1v_3            (0.6784  )   0.1936         0.1418         0.1354         0.1554         0.1991         0.2270         
FST1v_4            (0.6443  )   0.1095         0.1350         0.1434         0.1101         0.0932         0.0892         
FST2m_1.2          (0.0773  )   0.4079         0.4167         0.3941         0.4884         0.4157         0.4243         
FST2m_1.3          (0.0583  )   0.1897         0.1921         0.1742         0.2921         0.2081         0.1971         
FST2m_1.4          (0.0444  )   0.0953         0.3127         0.4010         0.3607         0.0838         0.0729         
FST2m_2.3          (0.0508  )   0.3945         0.5780         0.3766         0.5812         0.5580         0.4049         
FST2m_2.4          (0.0568  )   0.6318         0.4621         0.3683         0.1938         0.6056         0.4302         
FST2m_3.4          (0.0328  )   0.3942         0.1050         0.2696         0.0337 (*)     0.1768         0.5435         
FST2v_1.2          (0.0066  )   0.4208         0.4306         0.4060         0.4925         0.4281         0.4246         
FST2v_1.3          (0.0048  )   0.2068         0.2166         0.2029         0.3087         0.2195         0.2211         
FST2v_1.4          (0.0035  )   0.1261         0.3243         0.3883         0.3610         0.1110         0.0918         
FST2v_2.3          (0.0042  )   0.4283         0.5810         0.4095         0.5938         0.5634         0.4410         
FST2v_2.4          (0.0048  )   0.6495         0.4987         0.4230         0.2436         0.6136         0.4647         
FST2v_3.4          (0.0026  )   0.3995         0.1542         0.2966         0.0520         0.2234         0.5240         
NEIm_1.2           (0.0253  )   0.4829         0.4907         0.4778         0.5598         0.4806         0.4890         
NEIm_1.3           (0.0199  )   0.2197         0.2264         0.2059         0.3351         0.2331         0.2275         
NEIm_1.4           (0.0163  )   0.1184         0.3796         0.4690         0.4180         0.1003         0.0841         
NEIm_2.3           (0.0177  )   0.4928         0.6545         0.4820         0.6672         0.6328         0.5028         
NEIm_2.4           (0.0194  )   0.7006         0.5591         0.4680         0.2768         0.6731         0.5210         
NEIm_3.4           (0.0129  )   0.4826         0.1666         0.3488         0.0422 (*)     0.2686         0.6245         
NEIv_1.2           (0.0030  )   0.4173         0.4167         0.4065         0.4857         0.4150         0.4225         
NEIv_1.3           (0.0018  )   0.1850         0.1903         0.1809         0.2650         0.1945         0.1948         
NEIv_1.4           (0.0012  )   0.1480         0.2771         0.3221         0.3147         0.1355         0.1094         
NEIv_2.3           (0.0016  )   0.3724         0.5212         0.3628         0.5427         0.5058         0.3742         
NEIv_2.4           (0.0020  )   0.6266         0.4642         0.3926         0.2451         0.5962         0.4512         
NEIv_3.4           (0.0008  )   0.3289         0.1959         0.2794         0.0935         0.2387         0.3806         
AMLm_1.2.3         (0.4620  )   0.2123         0.2027         0.1927         0.2039         0.2331         0.1472         
AMLm_2.1.3         (0.4077  )   0.3299         0.6055         0.3661         0.5696         0.5525         0.2825         
AMLm_3.1.2         (0.4414  )   0.4670         0.7168         0.6019         0.7257         0.6462         0.5281         
AMLm_1.2.4         (0.4170  )   0.0737         0.5252         0.5477         0.4565         0.0879         0.0414 (*)     
AMLm_2.1.4         (0.4441  )   0.7311         0.5871         0.4253         0.0797         0.7042         0.4016         
AMLm_4.1.2         (0.5242  )   0.9811 (*)     0.5586         0.4163         0.2534         0.9373         0.9407         
AMLm_1.3.4         (0.4379  )   0.1122         0.6052         0.7516         0.5347         0.1479         0.0754         
AMLm_3.1.4         (0.4002  )   0.5392         0.2226         0.5960         0.0090 (**)    0.2759         0.7290         
AMLm_4.1.3         (0.4568  )   0.7880         0.1320         0.3391         0.0181 (*)     0.5049         0.9087         
AMLm_2.3.4         (0.5488  )   0.9124         0.4493         0.5725         0.1815         0.6134         0.8517         
AMLm_3.2.4         (0.4775  )   0.7167         0.0538         0.4455         0.0148 (*)     0.1557         0.7914         
AMLm_4.2.3         (0.4263  )   0.1723         0.0517         0.3741         0.0686         0.0503         0.6107         
AMLv_1.2.3         (0.2049  )   0.3255         0.2367         0.3581         0.3089         0.2535         0.3515         
AMLv_2.1.3         (0.1986  )   0.6303         0.7948         0.6097         0.7964         0.8018         0.6069         
AMLv_3.1.2         (0.1882  )   0.3262         0.5371         0.3628         0.5596         0.5216         0.3594         
AMLv_1.2.4         (0.1946  )   0.0879         0.4452         0.5060         0.6843         0.1166         0.1723         
AMLv_2.1.4         (0.2103  )   0.9146         0.7373         0.5227         0.4646         0.9167         0.8195         
AMLv_4.1.2         (0.1842  )   0.5717         0.4720         0.5635         0.3555         0.4514         0.2533         
AMLv_1.3.4         (0.2034  )   0.1867         0.6249         0.6709         0.8172         0.3397         0.1293         
AMLv_3.1.4         (0.1921  )   0.6264         0.1974         0.4688         0.1601         0.4325         0.8418         
AMLv_4.1.3         (0.1819  )   0.5618         0.4056         0.6844         0.3469         0.2305         0.6631         
AMLv_2.3.4         (0.2083  )   0.7642         0.8799         0.5530         0.9201         0.9269         0.3850         
AMLv_3.2.4         (0.1915  )   0.4116         0.4672         0.3976         0.6775         0.3995         0.7324         
AMLv_4.2.3         (0.1891  )   0.6338         0.2309         0.4530         0.0556         0.3638         0.6250         
FST3m_1.2.3        (0.0623  )   0.2743         0.3370         0.2551         0.4145         0.3320         0.2883         
FST3m_1.2.4        (0.0596  )   0.3178         0.3455         0.3328         0.2949         0.3028         0.2349         
FST3m_1.3.4        (0.0453  )   0.1472         0.1411         0.1997         0.1375         0.1083         0.1567         
FST3m_2.3.4        (0.0468  )   0.4367         0.3296         0.2986         0.1767         0.4111         0.4039         
FST3v_1.2.3        (0.0034  )   0.2684         0.3006         0.2559         0.3673         0.2931         0.2722         
FST3v_1.2.4        (0.0032  )   0.2848         0.3226         0.3181         0.2745         0.2649         0.2321         
FST3v_1.3.4        (0.0023  )   0.1594         0.1757         0.2074         0.1569         0.1372         0.1554         
FST3v_2.3.4        (0.0026  )   0.4337         0.3264         0.3158         0.1933         0.3900         0.4047         
FST4m_1.2.3.4      (0.0535  )   0.2542         0.2524         0.2494         0.2305         0.2479         0.2382         
FST4v_1.2.3.4      (0.0022  )   0.2272         0.2375         0.2401         0.2149         0.2064         0.2142         
F3m_1.2.3          (0.0096  )   0.3759         0.2981         0.3656         0.4005         0.3023         0.3778         
F3m_2.1.3          (0.0075  )   0.6872         0.7852         0.6787         0.7833         0.7710         0.6943         
F3m_3.1.2          (0.0033  )   0.3168         0.4806         0.3063         0.5239         0.4699         0.3229         
F3m_1.2.4          (0.0073  )   0.1442         0.3968         0.4935         0.7225         0.1666         0.2186         
F3m_2.1.4          (0.0098  )   0.8312         0.5979         0.4995         0.4922         0.8259         0.7748         
F3m_4.1.2          (0.0025  )   0.4546         0.5391         0.5620         0.2627         0.3752         0.1759         
F3m_1.3.4          (0.0078  )   0.1584         0.4871         0.3893         0.7443         0.2596         0.1125         
F3m_3.1.4          (0.0051  )   0.6368         0.1704         0.2144         0.1971         0.4798         0.7628         
F3m_4.1.3          (0.0020  )   0.3833         0.4129         0.6809         0.2041         0.1457         0.4284         
F3m_2.3.4          (0.0081  )   0.6619         0.8385         0.5675         0.8032         0.8703         0.4913         
F3m_3.2.4          (0.0027  )   0.2306         0.3667         0.3748         0.4593         0.3405         0.5491         
F3m_4.2.3          (0.0043  )   0.7768         0.2686         0.4503         0.0319 (*)     0.4670         0.7142         
F3v_1.2.3          (0.0007  )   0.3044         0.2928         0.3071         0.3172         0.2839         0.3073         
F3v_2.1.3          (0.0006  )   0.3888         0.4225         0.3936         0.4276         0.4172         0.3967         
F3v_3.1.2          (0.0004  )   0.3677         0.4054         0.3686         0.4125         0.3966         0.3735         
F3v_1.2.4          (0.0005  )   0.2850         0.3465         0.3738         0.3987         0.2763         0.2942         
F3v_2.1.4          (0.0007  )   0.4305         0.3811         0.3573         0.3409         0.4216         0.4052         
F3v_4.1.2          (0.0003  )   0.4119         0.4089         0.4098         0.3685         0.3949         0.3579         
F3v_1.3.4          (0.0004  )   0.2594         0.3458         0.3431         0.3846         0.2720         0.2400         
F3v_3.1.4          (0.0003  )   0.4042         0.3140         0.3411         0.2793         0.3519         0.4351         
F3v_4.1.3          (0.0002  )   0.4071         0.3915         0.4328         0.3544         0.3485         0.4277         
F3v_2.3.4          (0.0005  )   0.4074         0.4377         0.3836         0.4188         0.4485         0.3681         
F3v_3.2.4          (0.0003  )   0.3913         0.3960         0.4070         0.3977         0.3847         0.4340         
F3v_4.2.3          (0.0003  )   0.4357         0.3511         0.3878         0.2511         0.3888         0.4320         
F4m_1.2.3.4        (-0.0023 )   0.0000 (***)   0.6646         0.6879         0.7735         0.2593         0.0018 (**)    
F4m_1.3.2.4        (-0.0018 )   0.0017 (**)    0.8094         0.5607         0.8260         0.3116         0.0005 (***)   
F4m_1.4.2.3        (0.0006  )   0.5775         0.6800         0.3211         0.5216         0.7234         0.2078         
F4v_1.2.3.4        (0.0003  )   0.4320         0.3599         0.3933         0.3278         0.3820         0.4680         
F4v_1.3.2.4        (0.0004  )   0.4263         0.3781         0.3603         0.3308         0.4179         0.3911         
F4v_1.4.2.3        (0.0003  )   0.3888         0.4551         0.4340         0.4716         0.4201         0.3834         
